match_id,date,match_date,tournament,city,country,level,round,best_of_5,surface,indoor,player_a_id,player_b_id,winner_id,duration_minutes
2015-416_20150510_11.0,2015-05-10,2015-05-10,Rome Masters,Rome Masters,,M,R64,0,clay,0,DA67,G725,DA67,117.0
2015-416_20150510_12.0,2015-05-10,2015-05-10,Rome Masters,Rome Masters,,M,R64,0,clay,0,BD20,SM37,BD20,88.0
2015-416_20150510_13.0,2015-05-10,2015-05-10,Rome Masters,Rome Masters,,M,R64,0,clay,0,F510,J386,F510,102.0
2015-416_20150510_14.0,2015-05-10,2015-05-10,Rome Masters,Rome Masters,,M,R64,0,clay,0,D875,J397,D875,92.0
2015-416_20150510_15.0,2015-05-10,2015-05-10,Rome Masters,Rome Masters,,M,R64,0,clay,0,A678,MB02,A678,174.0
2015-416_20150510_16.0,2015-05-10,2015-05-10,Rome Masters,Rome Masters,,M,R64,0,clay,0,K435,Y124,K435,69.0
2015-416_20150510_17.0,2015-05-10,2015-05-10,Rome Masters,Rome Masters,,M,R64,0,clay,0,C882,L503,C882,77.0
2015-416_20150510_18.0,2015-05-10,2015-05-10,Rome Masters,Rome Masters,,M,R64,0,clay,0,BD06,G710,BD06,76.0
2015-416_20150510_19.0,2015-05-10,2015-05-10,Rome Masters,Rome Masters,,M,R64,0,clay,0,KE17,L397,L397,82.0
2015-416_20150510_20.0,2015-05-10,2015-05-10,Rome Masters,Rome Masters,,M,R64,0,clay,0,T840,TA46,T840,166.0
2015-416_20150510_21.0,2015-05-10,2015-05-10,Rome Masters,Rome Masters,,M,R64,0,clay,0,G858,V708,V708,148.0
2015-416_20150510_22.0,2015-05-10,2015-05-10,Rome Masters,Rome Masters,,M,R64,0,clay,0,CA12,R685,CA12,97.0
2015-416_20150510_23.0,2015-05-10,2015-05-10,Rome Masters,Rome Masters,,M,R64,0,clay,0,A622,GB88,GB88,123.0
2015-416_20150510_24.0,2015-05-10,2015-05-10,Rome Masters,Rome Masters,,M,R64,0,clay,0,Q927,T786,T786,85.0
2015-416_20150510_25.0,2015-05-10,2015-05-11,Rome Masters,Rome Masters,,M,R32,0,clay,0,A479,D643,D643,122.0
2015-416_20150510_26.0,2015-05-10,2015-05-11,Rome Masters,Rome Masters,,M,R32,0,clay,0,BD06,BD20,BD20,98.0
2015-416_20150510_27.0,2015-05-10,2015-05-11,Rome Masters,Rome Masters,,M,R32,0,clay,0,L397,T840,T840,135.0
2015-416_20150510_28.0,2015-05-10,2015-05-11,Rome Masters,Rome Masters,,M,R32,0,clay,0,N552,V708,N552,131.0
2015-416_20150510_29.0,2015-05-10,2015-05-11,Rome Masters,Rome Masters,,M,R32,0,clay,0,CA12,MC10,MC10,85.0
2015-416_20150510_30.0,2015-05-10,2015-05-11,Rome Masters,Rome Masters,,M,R32,0,clay,0,GB88,T786,GB88,151.0
2015-416_20150510_31.0,2015-05-10,2015-05-11,Rome Masters,Rome Masters,,M,R32,0,clay,0,D801,G476,G476,95.0
2015-416_20150510_32.0,2015-05-10,2015-05-11,Rome Masters,Rome Masters,,M,R32,0,clay,0,F401,G628,F401,90.0
2015-416_20150510_33.0,2015-05-10,2015-05-11,Rome Masters,Rome Masters,,M,R32,0,clay,0,MA21,W367,W367,133.0
2015-416_20150510_34.0,2015-05-10,2015-05-11,Rome Masters,Rome Masters,,M,R32,0,clay,0,SD32,TB69,TB69,85.0
2015-416_20150510_35.0,2015-05-10,2015-05-11,Rome Masters,Rome Masters,,M,R32,0,clay,0,I186,MD56,I186,94.0
2015-416_20150510_36.0,2015-05-10,2015-05-11,Rome Masters,Rome Masters,,M,R32,0,clay,0,K771,N409,N409,75.0
2015-416_20150510_37.0,2015-05-10,2015-05-11,Rome Masters,Rome Masters,,M,R32,0,clay,0,BA47,DA67,BA47,75.0
2015-416_20150510_38.0,2015-05-10,2015-05-11,Rome Masters,Rome Masters,,M,R32,0,clay,0,D875,F510,F510,138.0
2015-416_20150510_39.0,2015-05-10,2015-05-11,Rome Masters,Rome Masters,,M,R32,0,clay,0,A678,K435,A678,16.0
2015-416_20150510_40.0,2015-05-10,2015-05-11,Rome Masters,Rome Masters,,M,R32,0,clay,0,C882,F324,F324,81.0
2015-416_20150510_41.0,2015-05-10,2015-05-12,Rome Masters,Rome Masters,,M,R16,0,clay,0,BD20,D643,D643,120.0
2015-416_20150510_42.0,2015-05-10,2015-05-12,Rome Masters,Rome Masters,,M,R16,0,clay,0,N552,T840,N552,89.0
2015-416_20150510_43.0,2015-05-10,2015-05-12,Rome Masters,Rome Masters,,M,R16,0,clay,0,GB88,MC10,GB88,
2015-416_20150510_44.0,2015-05-10,2015-05-12,Rome Masters,Rome Masters,,M,R16,0,clay,0,F401,G476,F401,86.0
2015-416_20150510_45.0,2015-05-10,2015-05-12,Rome Masters,Rome Masters,,M,R16,0,clay,0,TB69,W367,W367,98.0
2015-416_20150510_46.0,2015-05-10,2015-05-12,Rome Masters,Rome Masters,,M,R16,0,clay,0,I186,N409,N409,80.0
2015-416_20150510_47.0,2015-05-10,2015-05-12,Rome Masters,Rome Masters,,M,R16,0,clay,0,BA47,F510,BA47,155.0
2015-416_20150510_48.0,2015-05-10,2015-05-12,Rome Masters,Rome Masters,,M,R16,0,clay,0,A678,F324,F324,76.0
2015-416_20150510_49.0,2015-05-10,2015-05-13,Rome Masters,Rome Masters,,M,QF,0,clay,0,D643,N552,D643,108.0
2015-416_20150510_50.0,2015-05-10,2015-05-13,Rome Masters,Rome Masters,,M,QF,0,clay,0,F401,GB88,F401,129.0
2015-416_20150510_51.0,2015-05-10,2015-05-13,Rome Masters,Rome Masters,,M,QF,0,clay,0,N409,W367,W367,126.0
2015-416_20150510_52.0,2015-05-10,2015-05-13,Rome Masters,Rome Masters,,M,QF,0,clay,0,BA47,F324,F324,67.0
2015-416_20150510_53.0,2015-05-10,2015-05-14,Rome Masters,Rome Masters,,M,SF,0,clay,0,D643,F401,D643,95.0
2015-416_20150510_54.0,2015-05-10,2015-05-14,Rome Masters,Rome Masters,,M,SF,0,clay,0,F324,W367,F324,55.0
2015-416_20150510_55.0,2015-05-10,2015-05-16,Rome Masters,Rome Masters,,M,F,0,clay,0,D643,F324,D643,76.0
2015-322_20150517_1.0,2015-05-17,2015-05-17,Geneva,Geneva,,250,R32,0,clay,0,L575,R685,R685,123.0
2015-322_20150517_2.0,2015-05-17,2015-05-17,Geneva,Geneva,,250,R32,0,clay,0,SL28,Y061,Y061,103.0
2015-322_20150517_3.0,2015-05-17,2015-05-17,Geneva,Geneva,,250,R32,0,clay,0,BE90,G725,G725,126.0
2015-322_20150517_4.0,2015-05-17,2015-05-17,Geneva,Geneva,,250,R32,0,clay,0,N289,RE44,RE44,112.0
2015-322_20150517_5.0,2015-05-17,2015-05-17,Geneva,Geneva,,250,R32,0,clay,0,D874,G681,D874,74.0
2015-322_20150517_6.0,2015-05-17,2015-05-17,Geneva,Geneva,,250,R32,0,clay,0,H804,KB54,KB54,59.0
2015-322_20150517_7.0,2015-05-17,2015-05-17,Geneva,Geneva,,250,R32,0,clay,0,B884,ME82,ME82,125.0
2015-322_20150517_8.0,2015-05-17,2015-05-17,Geneva,Geneva,,250,R32,0,clay,0,D923,M762,M762,70.0
2015-322_20150517_9.0,2015-05-17,2015-05-17,Geneva,Geneva,,250,R32,0,clay,0,SG64,SH90,SH90,87.0
2015-322_20150517_10.0,2015-05-17,2015-05-17,Geneva,Geneva,,250,R32,0,clay,0,B837,BD20,BD20,136.0
2015-322_20150517_11.0,2015-05-17,2015-05-17,Geneva,Geneva,,250,R32,0,clay,0,I165,T742,I165,53.0
2015-322_20150517_12.0,2015-05-17,2015-05-17,Geneva,Geneva,,250,R32,0,clay,0,ME05,R772,R772,96.0
2015-322_20150517_13.0,2015-05-17,2015-05-18,Geneva,Geneva,,250,R16,0,clay,0,R685,W367,W367,96.0
2015-322_20150517_14.0,2015-05-17,2015-05-18,Geneva,Geneva,,250,R16,0,clay,0,D874,KB54,D874,67.0
2015-322_20150517_15.0,2015-05-17,2015-05-18,Geneva,Geneva,,250,R16,0,clay,0,A596,ME82,A596,135.0
2015-322_20150517_16.0,2015-05-17,2015-05-18,Geneva,Geneva,,250,R16,0,clay,0,M762,SH90,SH90,81.0
2015-322_20150517_17.0,2015-05-17,2015-05-18,Geneva,Geneva,,250,R16,0,clay,0,BD20,I165,BD20,76.0
2015-322_20150517_18.0,2015-05-17,2015-05-18,Geneva,Geneva,,250,R16,0,clay,0,B896,R772,R772,87.0
2015-322_20150517_19.0,2015-05-17,2015-05-18,Geneva,Geneva,,250,R16,0,clay,0,G725,Y061,G725,95.0
2015-322_20150517_20.0,2015-05-17,2015-05-18,Geneva,Geneva,,250,R16,0,clay,0,C977,RE44,C977,101.0
2015-322_20150517_21.0,2015-05-17,2015-05-19,Geneva,Geneva,,250,QF,0,clay,0,D874,W367,D874,126.0
2015-322_20150517_22.0,2015-05-17,2015-05-19,Geneva,Geneva,,250,QF,0,clay,0,A596,SH90,SH90,149.0
2015-322_20150517_23.0,2015-05-17,2015-05-19,Geneva,Geneva,,250,QF,0,clay,0,BD20,R772,BD20,108.0
2015-322_20150517_24.0,2015-05-17,2015-05-19,Geneva,Geneva,,250,QF,0,clay,0,C977,G725,G725,88.0
2015-322_20150517_25.0,2015-05-17,2015-05-20,Geneva,Geneva,,250,SF,0,clay,0,D874,SH90,SH90,113.0
2015-322_20150517_26.0,2015-05-17,2015-05-20,Geneva,Geneva,,250,SF,0,clay,0,BD20,G725,BD20,71.0
2015-322_20150517_27.0,2015-05-17,2015-05-22,Geneva,Geneva,,250,F,0,clay,0,BD20,SH90,BD20,94.0
2015-6120_20150517_1.0,2015-05-17,2015-05-17,Nice,Nice,,250,R32,0,clay,0,D994,TD51,D994,122.0
2015-6120_20150517_2.0,2015-05-17,2015-05-17,Nice,Nice,,250,R32,0,clay,0,L987,SM25,L987,115.0
2015-6120_20150517_3.0,2015-05-17,2015-05-17,Nice,Nice,,250,R32,0,clay,0,CD85,HB35,CD85,68.0
2015-6120_20150517_4.0,2015-05-17,2015-05-17,Nice,Nice,,250,R32,0,clay,0,J386,V576,J386,69.0
2015-6120_20150517_5.0,2015-05-17,2015-05-17,Nice,Nice,,250,R32,0,clay,0,CG80,G940,CG80,98.0
2015-6120_20150517_6.0,2015-05-17,2015-05-17,Nice,Nice,,250,R32,0,clay,0,MJ89,TA46,MJ89,26.0
2015-6120_20150517_7.0,2015-05-17,2015-05-17,Nice,Nice,,250,R32,0,clay,0,PF39,SF62,PF39,70.0
2015-6120_20150517_8.0,2015-05-17,2015-05-17,Nice,Nice,,250,R32,0,clay,0,BE54,Q927,Q927,59.0
2015-6120_20150517_9.0,2015-05-17,2015-05-17,Nice,Nice,,250,R32,0,clay,0,MA21,PD31,MA21,76.0
2015-6120_20150517_10.0,2015-05-17,2015-05-17,Nice,Nice,,250,R32,0,clay,0,K926,KE17,KE17,79.0
2015-6120_20150517_11.0,2015-05-17,2015-05-17,Nice,Nice,,250,R32,0,clay,0,E224,TB69,TB69,87.0
2015-6120_20150517_12.0,2015-05-17,2015-05-17,Nice,Nice,,250,R32,0,clay,0,D801,SC77,D801,96.0
2015-6120_20150517_13.0,2015-05-17,2015-05-18,Nice,Nice,,250,R16,0,clay,0,D994,HB64,D994,94.0
2015-6120_20150517_14.0,2015-05-17,2015-05-18,Nice,Nice,,250,R16,0,clay,0,CG80,MJ89,CG80,101.0
2015-6120_20150517_15.0,2015-05-17,2015-05-18,Nice,Nice,,250,R16,0,clay,0,MD56,PF39,MD56,74.0
2015-6120_20150517_16.0,2015-05-17,2015-05-18,Nice,Nice,,250,R16,0,clay,0,MA21,Q927,MA21,54.0
2015-6120_20150517_17.0,2015-05-17,2015-05-18,Nice,Nice,,250,R16,0,clay,0,KE17,TB69,TB69,28.0
2015-6120_20150517_18.0,2015-05-17,2015-05-18,Nice,Nice,,250,R16,0,clay,0,D801,G858,G858,128.0
2015-6120_20150517_19.0,2015-05-17,2015-05-18,Nice,Nice,,250,R16,0,clay,0,CD85,L987,L987,115.0
2015-6120_20150517_20.0,2015-05-17,2015-05-18,Nice,Nice,,250,R16,0,clay,0,I186,J386,I186,116.0
2015-6120_20150517_21.0,2015-05-17,2015-05-19,Nice,Nice,,250,QF,0,clay,0,CG80,D994,CG80,97.0
2015-6120_20150517_22.0,2015-05-17,2015-05-19,Nice,Nice,,250,QF,0,clay,0,MA21,MD56,MD56,93.0
2015-6120_20150517_23.0,2015-05-17,2015-05-19,Nice,Nice,,250,QF,0,clay,0,G858,TB69,TB69,97.0
2015-6120_20150517_24.0,2015-05-17,2015-05-19,Nice,Nice,,250,QF,0,clay,0,I186,L987,I186,78.0
2015-6120_20150517_25.0,2015-05-17,2015-05-20,Nice,Nice,,250,SF,0,clay,0,CG80,MD56,MD56,86.0
2015-6120_20150517_26.0,2015-05-17,2015-05-20,Nice,Nice,,250,SF,0,clay,0,I186,TB69,TB69,87.0
2015-6120_20150517_27.0,2015-05-17,2015-05-22,Nice,Nice,,250,F,0,clay,0,MD56,TB69,TB69,169.0
2015-520_20150524_1.0,2015-05-24,2015-05-24,Roland Garros,Roland Garros,,G,R128,1,clay,0,D643,N289,D643,123.0
2015-520_20150524_2.0,2015-05-24,2015-05-24,Roland Garros,Roland Garros,,G,R128,1,clay,0,CD85,E224,CD85,83.0
2015-520_20150524_3.0,2015-05-24,2015-05-24,Roland Garros,Roland Garros,,G,R128,1,clay,0,CG80,Q927,CG80,160.0
2015-520_20150524_4.0,2015-05-24,2015-05-24,Roland Garros,Roland Garros,,G,R128,1,clay,0,G806,R419,R419,152.0
2015-520_20150524_5.0,2015-05-24,2015-05-24,Roland Garros,Roland Garros,,G,R128,1,clay,0,M762,ME82,M762,156.0
2015-520_20150524_6.0,2015-05-24,2015-05-24,Roland Garros,Roland Garros,,G,R128,1,clay,0,J267,KB54,KB54,86.0
2015-520_20150524_7.0,2015-05-24,2015-05-24,Roland Garros,Roland Garros,,G,R128,1,clay,0,A479,D801,A479,146.0
2015-520_20150524_8.0,2015-05-24,2015-05-24,Roland Garros,Roland Garros,,G,R128,1,clay,0,HB64,N409,N409,110.0
2015-520_20150524_9.0,2015-05-24,2015-05-24,Roland Garros,Roland Garros,,G,R128,1,clay,0,A941,MC10,MC10,105.0
2015-520_20150524_10.0,2015-05-24,2015-05-24,Roland Garros,Roland Garros,,G,R128,1,clay,0,PD07,SH90,SH90,114.0
2015-520_20150524_11.0,2015-05-24,2015-05-24,Roland Garros,Roland Garros,,G,R128,1,clay,0,E831,R612,E831,177.0
2015-520_20150524_12.0,2015-05-24,2015-05-24,Roland Garros,Roland Garros,,G,R128,1,clay,0,L503,MA30,MA30,242.0
2015-520_20150524_13.0,2015-05-24,2015-05-24,Roland Garros,Roland Garros,,G,R128,1,clay,0,I165,KE17,KE17,98.0
2015-520_20150524_14.0,2015-05-24,2015-05-24,Roland Garros,Roland Garros,,G,R128,1,clay,0,GB88,KB05,GB88,140.0
2015-520_20150524_15.0,2015-05-24,2015-05-24,Roland Garros,Roland Garros,,G,R128,1,clay,0,G725,Y124,G725,151.0
2015-520_20150524_16.0,2015-05-24,2015-05-24,Roland Garros,Roland Garros,,G,R128,1,clay,0,B678,CA12,CA12,144.0
2015-520_20150524_17.0,2015-05-24,2015-05-24,Roland Garros,Roland Garros,,G,R128,1,clay,0,I186,SA93,I186,101.0
2015-520_20150524_18.0,2015-05-24,2015-05-24,Roland Garros,Roland Garros,,G,R128,1,clay,0,C977,H756,C977,97.0
2015-520_20150524_19.0,2015-05-24,2015-05-24,Roland Garros,Roland Garros,,G,R128,1,clay,0,A622,D994,A622,250.0
2015-520_20150524_20.0,2015-05-24,2015-05-24,Roland Garros,Roland Garros,,G,R128,1,clay,0,HB35,J397,J397,175.0
2015-520_20150524_21.0,2015-05-24,2015-05-24,Roland Garros,Roland Garros,,G,R128,1,clay,0,MD56,V708,MD56,235.0
2015-520_20150524_22.0,2015-05-24,2015-05-24,Roland Garros,Roland Garros,,G,R128,1,clay,0,SL28,T840,T840,144.0
2015-520_20150524_23.0,2015-05-24,2015-05-24,Roland Garros,Roland Garros,,G,R128,1,clay,0,BG23,KD46,KD46,175.0
2015-520_20150524_24.0,2015-05-24,2015-05-24,Roland Garros,Roland Garros,,G,R128,1,clay,0,BA98,D632,BA98,103.0
2015-520_20150524_25.0,2015-05-24,2015-05-24,Roland Garros,Roland Garros,,G,R128,1,clay,0,G676,SG64,G676,149.0
2015-520_20150524_26.0,2015-05-24,2015-05-24,Roland Garros,Roland Garros,,G,R128,1,clay,0,F401,L797,F401,82.0
2015-520_20150524_27.0,2015-05-24,2015-05-24,Roland Garros,Roland Garros,,G,R128,1,clay,0,M850,N552,N552,130.0
2015-520_20150524_28.0,2015-05-24,2015-05-24,Roland Garros,Roland Garros,,G,R128,1,clay,0,BD20,ME05,BD20,90.0
2015-520_20150524_29.0,2015-05-24,2015-05-24,Roland Garros,Roland Garros,,G,R128,1,clay,0,B896,BE54,B896,216.0
2015-520_20150524_30.0,2015-05-24,2015-05-24,Roland Garros,Roland Garros,,G,R128,1,clay,0,DA81,V306,V306,95.0
2015-520_20150524_31.0,2015-05-24,2015-05-24,Roland Garros,Roland Garros,,G,R128,1,clay,0,BD06,MB02,BD06,93.0
2015-520_20150524_32.0,2015-05-24,2015-05-24,Roland Garros,Roland Garros,,G,R128,1,clay,0,R685,Y218,R685,114.0
2015-520_20150524_33.0,2015-05-24,2015-05-24,Roland Garros,Roland Garros,,G,R128,1,clay,0,D874,MA21,MA21,208.0
2015-520_20150524_34.0,2015-05-24,2015-05-24,Roland Garros,Roland Garros,,G,R128,1,clay,0,TA46,V495,TA46,152.0
2015-520_20150524_35.0,2015-05-24,2015-05-24,Roland Garros,Roland Garros,,G,R128,1,clay,0,G681,L397,G681,130.0
2015-520_20150524_36.0,2015-05-24,2015-05-24,Roland Garros,Roland Garros,,G,R128,1,clay,0,LA94,T786,T786,92.0
2015-520_20150524_37.0,2015-05-24,2015-05-24,Roland Garros,Roland Garros,,G,R128,1,clay,0,K926,SC56,SC56,152.0
2015-520_20150524_38.0,2015-05-24,2015-05-24,Roland Garros,Roland Garros,,G,R128,1,clay,0,A596,R772,A596,158.0
2015-520_20150524_39.0,2015-05-24,2015-05-24,Roland Garros,Roland Garros,,G,R128,1,clay,0,K435,SC47,K435,86.0
2015-520_20150524_40.0,2015-05-24,2015-05-24,Roland Garros,Roland Garros,,G,R128,1,clay,0,F510,I230,F510,93.0
2015-520_20150524_41.0,2015-05-24,2015-05-24,Roland Garros,Roland Garros,,G,R128,1,clay,0,E698,PD31,PD31,179.0
2015-520_20150524_42.0,2015-05-24,2015-05-24,Roland Garros,Roland Garros,,G,R128,1,clay,0,D646,S694,S694,161.0
2015-520_20150524_43.0,2015-05-24,2015-05-24,Roland Garros,Roland Garros,,G,R128,1,clay,0,BA47,N732,BA47,107.0
2015-520_20150524_44.0,2015-05-24,2015-05-24,Roland Garros,Roland Garros,,G,R128,1,clay,0,K771,W367,W367,96.0
2015-520_20150524_45.0,2015-05-24,2015-05-24,Roland Garros,Roland Garros,,G,R128,1,clay,0,G628,GB13,G628,104.0
2015-520_20150524_46.0,2015-05-24,2015-05-24,Roland Garros,Roland Garros,,G,R128,1,clay,0,G585,L987,L987,108.0
2015-520_20150524_47.0,2015-05-24,2015-05-24,Roland Garros,Roland Garros,,G,R128,1,clay,0,BE90,SC77,SC77,84.0
2015-520_20150524_48.0,2015-05-24,2015-05-24,Roland Garros,Roland Garros,,G,R128,1,clay,0,G476,J386,J386,209.0
2015-520_20150524_49.0,2015-05-24,2015-05-24,Roland Garros,Roland Garros,,G,R128,1,clay,0,G858,SF36,G858,139.0
2015-520_20150524_50.0,2015-05-24,2015-05-24,Roland Garros,Roland Garros,,G,R128,1,clay,0,CG33,M873,M873,145.0
2015-520_20150524_51.0,2015-05-24,2015-05-24,Roland Garros,Roland Garros,,G,R128,1,clay,0,K966,TD51,K966,100.0
2015-520_20150524_52.0,2015-05-24,2015-05-24,Roland Garros,Roland Garros,,G,R128,1,clay,0,PF39,SD32,SD32,136.0
2015-520_20150524_53.0,2015-05-24,2015-05-24,Roland Garros,Roland Garros,,G,R128,1,clay,0,MC65,R613,MC65,158.0
2015-520_20150524_54.0,2015-05-24,2015-05-24,Roland Garros,Roland Garros,,G,R128,1,clay,0,H804,SM37,SM37,174.0
2015-520_20150524_55.0,2015-05-24,2015-05-24,Roland Garros,Roland Garros,,G,R128,1,clay,0,BH09,TB69,TB69,202.0
2015-520_20150524_56.0,2015-05-24,2015-05-24,Roland Garros,Roland Garros,,G,R128,1,clay,0,B884,ME89,B884,248.0
2015-520_20150524_57.0,2015-05-24,2015-05-24,Roland Garros,Roland Garros,,G,R128,1,clay,0,C882,G940,C882,149.0
2015-520_20150524_58.0,2015-05-24,2015-05-24,Roland Garros,Roland Garros,,G,R128,1,clay,0,B837,K336,B837,141.0
2015-520_20150524_59.0,2015-05-24,2015-05-24,Roland Garros,Roland Garros,,G,R128,1,clay,0,D923,Y061,D923,62.0
2015-520_20150524_60.0,2015-05-24,2015-05-24,Roland Garros,Roland Garros,,G,R128,1,clay,0,BC65,G710,G710,153.0
